DateTime,Frequency
2021-07-14T00:00:13.374672,65417.62542730001
2021-07-14T00:00:23.375055,65423.1801033
2021-07-14T00:00:33.375149,65422.44195950001
2021-07-14T00:00:43.375554,65421.8759536
2021-07-14T00:00:53.375780,65425.2433776
2021-07-14T00:01:03.375868,65422.5559235
2021-07-14T00:01:13.376211,65426.30100250001
2021-07-14T00:01:23.376545,65430.099010399994
2021-07-14T00:01:33.376484,65430.3178787
2021-07-14T00:01:43.376774,65426.9680977
2021-07-14T00:01:53.376917,65428.716182699995
2021-07-14T00:02:03.377287,65435.51969529999
2021-07-14T00:02:13.377548,65437.917232499996
2021-07-14T00:02:23.377988,65440.03677370001
2021-07-14T00:02:33.377913,65438.05885300001
2021-07-14T00:02:43.378089,65440.57798370001
2021-07-14T00:02:53.378439,65444.307804
2021-07-14T00:03:03.378438,65443.07184230001
2021-07-14T00:03:13.378725,65446.848392500004
2021-07-14T00:03:23.378341,65447.2332001
2021-07-14T00:03:33.378823,65444.036483799995
2021-07-14T00:03:43.378719,65452.5198936
2021-07-14T00:03:53.379150,65455.007076199996
2021-07-14T00:04:03.379994,65452.315330599995
2021-07-14T00:04:13.380136,65452.96335219999
2021-07-14T00:04:23.380422,65458.9481353
2021-07-14T00:04:33.380409,65460.0262641
2021-07-14T00:04:43.380710,65455.18302909999
2021-07-14T00:04:53.380854,65461.0438345
2021-07-14T00:05:03.381107,65459.2199326
2021-07-14T00:05:13.381499,65460.5145454
2021-07-14T00:05:23.381615,65463.0255699
2021-07-14T00:05:33.381970,65461.409092
2021-07-14T00:05:43.381641,65466.308593800015
2021-07-14T00:05:53.382530,65465.701580199995
2021-07-14T00:06:03.383046,65467.7519799
2021-07-14T00:06:13.383269,65468.871116600014
2021-07-14T00:06:23.383566,65469.663143000005
2021-07-14T00:06:33.383871,65466.95947650001
2021-07-14T00:06:43.384428,65471.820354699994
2021-07-14T00:06:53.384147,65471.14419920001
2021-07-14T00:07:03.384501,65470.221519499995
2021-07-14T00:07:13.384768,65474.473476499996
2021-07-14T00:07:23.385114,65470.5996513
2021-07-14T00:07:33.385472,65473.62947470001
2021-07-14T00:07:43.385684,65469.0098762
2021-07-14T00:07:53.385920,65474.8835564
2021-07-14T00:08:03.386028,65473.1011392
2021-07-14T00:08:13.386452,65472.77498250001
2021-07-14T00:08:23.386741,65474.89738459999
2021-07-14T00:08:33.386805,65473.51217260001
2021-07-14T00:08:43.387299,65478.2257082
2021-07-14T00:08:53.387506,65477.4827957
2021-07-14T00:09:03.387780,65477.900505000005
2021-07-14T00:09:13.387435,65477.4351118
2021-07-14T00:09:23.388130,65475.8110047
2021-07-14T00:09:33.388629,65475.40235530001
2021-07-14T00:09:43.388578,65479.027271299994
2021-07-14T00:09:53.389156,65477.18954080001
2021-07-14T00:10:03.389230,65478.518486099994
2021-07-14T00:10:13.389583,65480.64661030001
2021-07-14T00:10:23.389663,65476.284503799994
2021-07-14T00:10:33.389348,65478.3334731
2021-07-14T00:10:43.389557,65480.7295799
2021-07-14T00:10:53.389856,65482.491969999995
2021-07-14T00:11:03.390045,65483.8609695
2021-07-14T00:11:13.390388,65485.0573539
2021-07-14T00:11:23.391514,65488.017559099986
2021-07-14T00:11:33.391452,65495.03660199999
2021-07-14T00:11:43.391571,65497.0164299
2021-07-14T00:11:53.391933,65501.1367798
2021-07-14T00:12:03.391977,65503.757953500004
2021-07-14T00:12:13.392432,65509.0222359
2021-07-14T00:12:23.392677,65509.3169211
2021-07-14T00:12:33.393164,65513.4353639
2021-07-14T00:12:43.393399,65519.668102200005
2021-07-14T00:12:53.393477,65517.2104835
2021-07-14T00:13:03.393842,65525.2985954
2021-07-14T00:13:13.393898,65525.760173799994
2021-07-14T00:13:23.394156,65525.008678499995
2021-07-14T00:13:33.394559,65528.0880928
2021-07-14T00:13:43.394530,65523.50807190001
2021-07-14T00:13:53.395041,65524.2276193
2021-07-14T00:14:03.395066,65525.747299200004
2021-07-14T00:14:13.395397,65522.77040469999
2021-07-14T00:14:23.395639,65519.370079099994
2021-07-14T00:14:33.395837,65520.2217101
2021-07-14T00:14:43.396174,65516.301631899994
2021-07-14T00:14:53.396392,65517.2758102
2021-07-14T00:15:03.396563,65517.7817345
2021-07-14T00:15:13.396750,65515.226841
2021-07-14T00:15:23.397175,65506.903648399995
2021-07-14T00:15:33.397297,65513.935566
2021-07-14T00:15:43.397614,65512.3329161
2021-07-14T00:15:53.397966,65512.71963109999
2021-07-14T00:16:03.398319,65510.826587400006
2021-07-14T00:16:13.398407,65504.796505
2021-07-14T00:16:23.398607,65510.2329254
2021-07-14T00:16:33.398828,65510.333061200006
2021-07-14T00:16:43.399174,65507.56978989999
2021-07-14T00:16:53.397267,65505.99670419999
2021-07-14T00:17:03.399658,65501.07812880001
2021-07-14T00:17:13.399761,65501.947879800005
2021-07-14T00:17:23.400023,65503.336429699986
2021-07-14T00:17:33.399784,65495.72896950001
2021-07-14T00:17:43.399840,65497.102260600004
2021-07-14T00:17:53.400039,65498.4564782
2021-07-14T00:18:03.400179,65496.51002870001
2021-07-14T00:18:13.401120,65498.33059320001
2021-07-14T00:18:23.401385,65497.911453400004
2021-07-14T00:18:33.401544,65498.90804290001
2021-07-14T00:18:43.401816,65498.66056440001
2021-07-14T00:18:53.402022,65503.464222
2021-07-14T00:19:03.402398,65500.6060601
2021-07-14T00:19:13.402623,65503.03888330001
2021-07-14T00:19:23.403064,65502.89058699999
2021-07-14T00:19:33.403234,65495.2878952
2021-07-14T00:19:43.403381,65495.84245679999
2021-07-14T00:19:53.403689,65491.36209490001
2021-07-14T00:20:03.403838,65492.730617400004
2021-07-14T00:20:13.404283,65493.3028223
2021-07-14T00:20:23.404299,65486.51218410001
2021-07-14T00:20:33.404662,65491.39881120001
2021-07-14T00:20:43.404872,65492.557525699995
2021-07-14T00:20:53.405152,65486.659050099996
2021-07-14T00:21:03.405398,65486.1121177
2021-07-14T00:21:13.405472,65484.186172600006
2021-07-14T00:21:23.405908,65484.144687700005
2021-07-14T00:21:33.405973,65481.1515809
2021-07-14T00:21:43.406279,65478.3635139
2021-07-14T00:21:53.406606,65479.935169100005
2021-07-14T00:22:03.406682,65473.3009339
2021-07-14T00:22:13.407142,65478.106498600006
2021-07-14T00:22:23.405141,65476.2210845
2021-07-14T00:22:33.407467,65470.70169450001
2021-07-14T00:22:43.407681,65470.50476079999
2021-07-14T00:22:53.407909,65469.56014620002
2021-07-14T00:23:03.408075,65469.09379970001
2021-07-14T00:23:13.408390,65469.090461800006
2021-07-14T00:23:23.407955,65466.6280748
2021-07-14T00:23:33.408841,65464.9038315
2021-07-14T00:23:43.409034,65475.8810998
2021-07-14T00:23:53.409351,65494.80915080001
2021-07-14T00:24:03.409304,65491.744995099994
2021-07-14T00:24:13.409682,65495.535373800005
2021-07-14T00:24:23.410000,65490.9300805
2021-07-14T00:24:33.410295,65493.967056
2021-07-14T00:24:43.409703,65499.665260199996
2021-07-14T00:24:53.410057,65495.7489966
2021-07-14T00:25:03.410198,65494.7619437
2021-07-14T00:25:13.410247,65493.92795569999
2021-07-14T00:25:23.411257,65490.8943176
2021-07-14T00:25:33.411407,65491.650104500004
2021-07-14T00:25:43.411692,65489.27307129999
2021-07-14T00:25:53.411833,65488.89589300001
2021-07-14T00:26:03.412075,65491.895675700005
2021-07-14T00:26:13.412405,65488.9650345
2021-07-14T00:26:23.412613,65489.0584945
2021-07-14T00:26:33.410745,65490.3082847
2021-07-14T00:26:43.413155,65488.28029619999
2021-07-14T00:26:53.413289,65490.9009934
2021-07-14T00:27:03.413640,65488.8439179
2021-07-14T00:27:13.413853,65490.85998540001
2021-07-14T00:27:23.414183,65462.736129799996
2021-07-14T00:27:33.414307,65462.693214399995
2021-07-14T00:27:43.414490,65462.4447822
2021-07-14T00:27:53.414809,65455.42192460001
2021-07-14T00:28:03.415022,65456.324100599995
2021-07-14T00:28:13.415391,65455.51824570001
2021-07-14T00:28:23.415384,65454.29325080001
2021-07-14T00:28:33.415794,65451.650619600005
2021-07-14T00:28:43.415879,65452.3191452
2021-07-14T00:28:53.416240,65445.9047318
2021-07-14T00:29:03.416369,65449.510097499995
2021-07-14T00:29:13.416825,65449.235916200014
2021-07-14T00:29:23.416971,65444.68736640001
2021-07-14T00:29:33.416966,65441.862106199995
2021-07-14T00:29:43.417447,65445.65677640001
2021-07-14T00:29:53.417598,65444.78654849999
2021-07-14T00:30:03.417731,65441.2469863
2021-07-14T00:30:13.418104,65443.00031670001
2021-07-14T00:30:23.418269,65437.896728700005
2021-07-14T00:30:33.418415,65440.71245200001
2021-07-14T00:30:43.418717,65434.0176583
2021-07-14T00:30:53.418893,65436.53297429999
2021-07-14T00:31:03.419223,65436.9616508
2021-07-14T00:31:13.419241,65434.411525799995
2021-07-14T00:31:23.419774,65435.500621800005
2021-07-14T00:31:33.419958,65427.7243614
2021-07-14T00:31:43.420192,65432.45601649999
2021-07-14T00:31:53.419707,65429.3503761
2021-07-14T00:32:03.419978,65432.0535659
2021-07-14T00:32:13.420104,65426.3081551
2021-07-14T00:32:23.420219,65425.60195940001
2021-07-14T00:32:33.421184,65427.55126950001
2021-07-14T00:32:43.421307,65426.8612862
2021-07-14T00:32:53.421582,65421.802997499995
2021-07-14T00:33:03.421750,65423.061847799996
2021-07-14T00:33:13.421967,65422.9111672
2021-07-14T00:33:23.422438,65425.55236809999
2021-07-14T00:33:33.422495,65425.3320694
2021-07-14T00:33:43.422902,65423.570632899995
2021-07-14T00:33:53.422976,65423.471927800005
2021-07-14T00:34:03.423385,65423.07662960001
2021-07-14T00:34:13.423575,65422.557830699996
2021-07-14T00:34:23.423650,65420.1927186
2021-07-14T00:34:33.424023,65422.4443436
2021-07-14T00:34:43.424275,65423.0866432
2021-07-14T00:34:53.424419,65422.1434593
2021-07-14T00:35:03.424784,65425.0435829
2021-07-14T00:35:13.424805,65425.43697370001
2021-07-14T00:35:23.425188,65427.680969099994
2021-07-14T00:35:33.425298,65425.78125
2021-07-14T00:35:43.425565,65430.9678078
2021-07-14T00:35:53.425779,65427.6494978
2021-07-14T00:36:03.425961,65428.234100400005
2021-07-14T00:36:13.426090,65430.33218370001
2021-07-14T00:36:23.426414,65429.49008940001
2021-07-14T00:36:33.426694,65427.923202499995
2021-07-14T00:36:43.426873,65432.4789047
2021-07-14T00:36:53.427169,65432.00588220001
2021-07-14T00:37:03.427124,65433.565139800005
2021-07-14T00:37:13.427609,65435.92262260001
2021-07-14T00:37:23.427762,65437.061786700004
2021-07-14T00:37:33.428086,65432.444572399996
2021-07-14T00:37:43.428297,65435.986518800004
2021-07-14T00:37:53.428348,65432.7354431
2021-07-14T00:38:03.428788,65438.22479239999
2021-07-14T00:38:13.428951,65439.03017059999
2021-07-14T00:38:23.429023,65435.519218400004
2021-07-14T00:38:33.429540,65435.57691569999
2021-07-14T00:38:43.429597,65439.65101230001
2021-07-14T00:38:53.429314,65438.29298020001
2021-07-14T00:39:03.429351,65438.01498420001
2021-07-14T00:39:13.429661,65433.233737999995
2021-07-14T00:39:23.429775,65439.6533967
2021-07-14T00:39:33.430192,65436.315059600005
